dataset,sliding_retention,session_retention,sliding_fragmentation,session_fragmentation,sliding_purity,session_purity,k,stride,retention_type
UNSW,0.1138668118280981,0.7561951753921624,0.8861331881719019,0.2438048246078376,0.2856730872199964,1.0,32,16,emittable_related_pairs
CICIDS,0.0266137085499655,0.7419960442477306,0.9733862914500344,0.2580039557522694,0.0485710341341503,1.0,32,16,emittable_related_pairs
MQCIDS,0.147744760199953,0.7566974609256716,0.8522552398000469,0.2433025390743284,0.2363874485056092,1.0,32,16,emittable_related_pairs
Avg.,0.0960750935260055,0.7516295601885216,0.9039249064739944,0.2483704398114784,0.1902105232865853,1.0,32,16,emittable_related_pairs
