model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,flows_per_sec_mean,flows_per_sec_std,params,source
Shallow-Encoder,0.996124031007752,0.0004654888192008,0.9456123682887186,0.006280122382832,292719.8790760697,2528.488606668103,,shallow
Shallow-Decoder,0.9956022659511032,0.0004654888192008,0.9153673108681708,0.0365745046410879,249040.7460100444,291.8153720662195,,shallow
ModernBERT,0.962700731606313,4.067010888895435e-05,0.795906913406041,0.0002064819047286,3264.3585000000003,37.6739421948379,149014272.0,llm
Qwen2.5-0.5B,0.9670259513182716,0.0001057422831112,0.8022189666276218,5.365824930997482e-06,5152.9385,381.7733151236475,494032768.0,llm
