throughput_max_len,family,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,flows_per_sec_mean,flows_per_sec_std,latency_ms_per_batch_mean,latency_ms_per_batch_std,backbone_params,n
512.0,ModernBERT,0.962700731606313,4.067010888895435e-05,0.795906913406041,0.00020648190472860047,3264.3585000000003,37.6739421948379,39.214,0.4525483399593908,149014272.0,2
512.0,Qwen2.5-0.5B,0.9670259513182717,0.00010574228311122636,0.8022189666276218,5.365824930997482e-06,5152.9385,381.7733151236475,24.9085,1.8448415921157038,494032768.0,2
2048.0,ModernBERT,0.9704251598950904,1.626804355555819e-05,0.8099348654518501,9.096701591667069e-05,1826.288,5.287744509713049,70.0875,0.2029396462005284,149014272.0,2
2048.0,Qwen2.5-0.5B,0.970931302627341,,0.809920720772943,,1001.659,,127.788,,494032768.0,1
