public_result_id,seed,pool,causal,family,macro_f1,macro_f1_reference,accuracy,pr_auc,num_labels,throughput_flows_per_sec
shallow_head_encoder_attention_seed0,0,attn,0,Encoder-style,0.9369859125508094,0.6692756518220068,0.9957513416815742,0.968152611737232,5,284907.22357750277
shallow_head_encoder_attention_seed1,1,attn,0,Encoder-style,0.9463527792694381,0.6759662709067414,0.9961985688729875,0.9580592392194364,5,288787.7830155947
shallow_head_encoder_attention_seed2,2,attn,0,Encoder-style,0.9451040052397082,0.6750742894569344,0.9959749552772809,0.9688361556950824,5,290041.9390680945
shallow_head_encoder_cls_seed0,0,cls,0,Encoder-style,0.9397322087511002,0.6712372919650715,0.9957513416815742,0.9560911143664669,5,294691.00808228453
shallow_head_encoder_cls_seed1,1,cls,0,Encoder-style,0.9397322087511002,0.6712372919650715,0.9957513416815742,0.9431817353089518,5,295341.1732536633
shallow_head_encoder_cls_seed2,2,cls,0,Encoder-style,0.9306261018808547,0.6647329299148962,0.995304114490161,0.959052861097334,5,296710.32536788913
shallow_head_encoder_last_token_seed0,0,last,0,Encoder-style,0.9397322087511002,0.6712372919650715,0.9957513416815742,0.9537075862566299,5,294791.7737640885
shallow_head_encoder_last_token_seed1,1,last,0,Encoder-style,0.9350750129960781,0.6679107235686272,0.9955277280858676,0.9514759404725812,5,292704.8041193655
shallow_head_encoder_last_token_seed2,2,last,0,Encoder-style,0.7934523418290313,0.5667516727350224,0.9950805008944544,0.9244360301458169,5,293616.4517644567
shallow_head_encoder_mean_seed0,0,mean,0,Encoder-style,0.9397322087511002,0.6712372919650715,0.9957513416815742,0.9619114400909771,5,293581.5075653807
shallow_head_encoder_mean_seed1,1,mean,0,Encoder-style,0.9448771616737932,0.6749122583384237,0.9959749552772809,0.9329641633542181,5,289873.189856616
shallow_head_encoder_mean_seed2,2,mean,0,Encoder-style,0.9522277344412624,0.6801626674580445,0.9966457960644007,0.945264649331885,5,294704.9398062124
shallow_head_decoder_attention_seed0,0,attn,1,Decoder-style,0.8745279963220727,0.6246628545157662,0.9957513416815742,0.9583470157231536,5,248768.46023592327
shallow_head_decoder_attention_seed1,1,attn,1,Decoder-style,0.9264699310427316,0.661764236459094,0.9950805008944544,0.9522975829773579,5,249004.98324192566
shallow_head_decoder_attention_seed2,2,attn,1,Decoder-style,0.9451040052397082,0.6750742894569344,0.9959749552772809,0.9573745128623244,5,249348.79455228412
shallow_head_decoder_cls_seed0,0,cls,1,Decoder-style,0.1970040853381752,0.14071720381298228,0.9704830053667263,0.2,5,252342.55317787913
shallow_head_decoder_cls_seed1,1,cls,1,Decoder-style,0.1970040853381752,0.14071720381298228,0.9704830053667263,0.2,5,253312.51962440662
shallow_head_decoder_cls_seed2,2,cls,1,Decoder-style,0.1970040853381752,0.14071720381298228,0.9704830053667263,0.2,5,253419.09375485178
shallow_head_decoder_last_token_seed0,0,last,1,Decoder-style,0.9343245969583551,0.6673747121131107,0.9955277280858676,0.954050205304822,5,252312.43283864262
shallow_head_decoder_last_token_seed1,1,last,1,Decoder-style,0.9524186369321891,0.6802990263801351,0.9968694096601073,0.9734723983984571,5,254703.01618202578
shallow_head_decoder_last_token_seed2,2,last,1,Decoder-style,0.805210583587273,0.5751504168480521,0.995304114490161,0.9212023739389472,5,252159.8922070927
shallow_head_decoder_mean_seed0,0,mean,1,Decoder-style,0.871262634236402,0.6223304530260014,0.9964221824686941,0.9518336504003109,5,251269.99343575575
shallow_head_decoder_mean_seed1,1,mean,1,Decoder-style,0.8090998751584804,0.5779284822560574,0.9957513416815742,0.9544222746652654,5,250031.57572498187
shallow_head_decoder_mean_seed2,2,mean,1,Decoder-style,0.9189928874295721,0.6564234910211229,0.9944096601073346,0.9318736715758715,5,251271.62947095066
