pool,causal,family,macro_f1_mean,macro_f1_std,macro_f1_reference_mean,macro_f1_reference_std,accuracy_mean,accuracy_std,pr_auc_mean,pr_auc_std,throughput_flows_per_sec_mean,throughput_flows_per_sec_std,n
mean,0,Encoder-style,0.9456123682887186,0.006280122382832067,0.6754374059205133,0.004485801702022914,0.9961240310077519,0.00046548881920083993,0.94671341759236,0.014527918113860856,292719.8790760697,2528.488606668103,3
cls,0,Encoder-style,0.9366968397943517,0.005257413252805734,0.6690691712816798,0.0037552951805755242,0.9956022659511031,0.00025820673935133886,0.9527752369242508,0.008439161146494985,295580.8355679457,1030.7711160343742,3
attn,0,Encoder-style,0.9428142323533185,0.005085945628353886,0.6734387373952275,0.0036328183059670203,0.9959749552772809,0.00022361359570666206,0.9650160022172503,0.006034419743553878,287912.3152203973,2676.968189510561,3
last,0,Encoder-style,0.8894198545254032,0.08314291904859587,0.6352998960895737,0.059387799320425656,0.9954531902206321,0.00034157540958221954,0.9432065189583426,0.016293971229329917,293704.34321597026,1046.2572603980705,3
mean,1,Decoder-style,0.8664517989414847,0.05510423430807922,0.6188941421010606,0.0393601673629137,0.9955277280858676,0.001024726228746816,0.9460431988804826,0.012339241140498359,250857.73287722943,715.4735489940452,3
cls,1,Decoder-style,0.19700408533817523,0.0,0.14071720381298228,0.0,0.9704830053667263,0.0,0.20000000000000004,0.0,253024.7221857125,593.1740282213198,3
attn,1,Decoder-style,0.9153673108681707,0.03657450464108795,0.6538337934772649,0.026124646172205626,0.9956022659511031,0.0004654888192008022,0.9560063705209453,0.003248502614464405,249040.74601004436,291.8153720662195,3
last,1,Decoder-style,0.8973179391592724,0.08027871625464451,0.640941385113766,0.057341940181888915,0.9959004174120453,0.0008465874099284643,0.9495749925474088,0.026420815868695758,253058.44707592038,1426.2793624096498,3
